,path,emotion
1739,data/ravdess\Actor_18\18_01_01_02_dogs-sitting_happy.wav,happy
2181,data/ravdess\Actor_26\26_01_01_01_ton_happy.wav,happy
1600,data/ravdess\Actor_10\10_02_02_02_kids-talking_happy.wav,happy
806,data/ravdess\Actor_26\26_01_01_01_wife_sad.wav,sad
1293,data/ravdess\Actor_26\26_01_01_01_love_neutral.wav,neutral
1580,data/ravdess\Actor_09\09_02_01_02_kids-talking_happy.wav,happy
267,data/ravdess\Actor_13\13_01_01_02_kids-talking_sad.wav,sad
1512,data/ravdess\Actor_05\05_02_02_02_dogs-sitting_happy.wav,happy
223,data/ravdess\Actor_11\11_01_02_02_kids-talking_sad.wav,sad
984,data/ravdess\Actor_17\17_02_01_02_kids-talking_neutral.wav,neutral
1837,data/ravdess\Actor_24\03-02-03-02-01-01-24_happy.wav,happy
1991,data/ravdess\Actor_25\25_01_01_01_tip_happy.wav,happy
674,data/ravdess\Actor_26\26_01_01_01_hall_sad.wav,sad
981,data/ravdess\Actor_17\17_02_01_01_dogs-sitting_neutral.wav,neutral
1412,data/ravdess\Actor_01\01_02_02_02_dogs-sitting_happy.wav,happy
1772,data/ravdess\Actor_20\03-02-03-01-02-02-20_happy.wav,happy
1515,data/ravdess\Actor_06\03-02-03-01-01-02-06_happy.wav,happy
1299,data/ravdess\Actor_26\26_01_01_01_met_neutral.wav,neutral
781,data/ravdess\Actor_26\26_01_01_01_such_sad.wav,sad
152,data/ravdess\Actor_07\07_02_01_01_dogs-sitting_sad.wav,sad
427,data/ravdess\Actor_23\03-02-04-01-02-02-23_sad.wav,sad
1807,data/ravdess\Actor_22\03-02-03-02-02-01-22_happy.wav,happy
1136,data/ravdess\Actor_25\25_01_01_01_raise_neutral.wav,neutral
987,data/ravdess\Actor_18\18_01_01_02_dogs-sitting_neutral.wav,neutral
1841,data/ravdess\Actor_24\24_01_01_01_dogs-sitting_happy.wav,happy
1621,data/ravdess\Actor_11\11_02_02_01_dogs-sitting_happy.wav,happy
55,data/ravdess\Actor_03\03-02-04-02-02-02-03_sad.wav,sad
1952,data/ravdess\Actor_25\25_01_01_01_red_happy.wav,happy
1448,data/ravdess\Actor_03\03-02-03-01-02-01-03_happy.wav,happy
511,data/ravdess\Actor_25\25_01_01_01_life_sad.wav,sad
1820,data/ravdess\Actor_23\03-02-03-01-02-02-23_happy.wav,happy
522,data/ravdess\Actor_25\25_01_01_01_match_sad.wav,sad
311,data/ravdess\Actor_15\15_02_02_02_kids-talking_sad.wav,sad
704,data/ravdess\Actor_26\26_01_01_01_lid_sad.wav,sad
1414,data/ravdess\Actor_01\03-02-03-01-01-01-01_happy.wav,happy
1620,data/ravdess\Actor_11\11_02_01_02_kids-talking_happy.wav,happy
1321,data/ravdess\Actor_26\26_01_01_01_phone_neutral.wav,neutral
538,data/ravdess\Actor_25\25_01_01_01_pearl_sad.wav,sad
1785,data/ravdess\Actor_21\03-02-03-01-01-01-21_happy.wav,happy
831,data/ravdess\Actor_02\02_02_01_02_dogs-sitting_neutral.wav,neutral
217,data/ravdess\Actor_11\11_01_01_01_kids-talking_sad.wav,sad
793,data/ravdess\Actor_26\26_01_01_01_vine_sad.wav,sad
335,data/ravdess\Actor_17\03-02-04-02-02-02-17_sad.wav,sad
551,data/ravdess\Actor_25\25_01_01_01_rat_sad.wav,sad
1263,data/ravdess\Actor_26\26_01_01_01_have_neutral.wav,neutral
1174,data/ravdess\Actor_25\25_01_01_01_thin_neutral.wav,neutral
2052,data/ravdess\Actor_26\26_01_01_01_germ_happy.wav,happy
66,data/ravdess\Actor_03\03_02_01_02_dogs-sitting_sad.wav,sad
2170,data/ravdess\Actor_26\26_01_01_01_talk_happy.wav,happy
1530,data/ravdess\Actor_06\06_02_01_01_kids-talking_happy.wav,happy
838,data/ravdess\Actor_03\03-02-01-01-01-02-03_neutral.wav,neutral
140,data/ravdess\Actor_06\06_02_02_01_dogs-sitting_sad.wav,sad
1245,data/ravdess\Actor_26\26_01_01_01_fat_neutral.wav,neutral
5,data/ravdess\Actor_01\01_01_02_01_kids-talking_sad.wav,sad
58,data/ravdess\Actor_03\03_01_01_02_dogs-sitting_sad.wav,sad
1882,data/ravdess\Actor_25\25_01_01_01_hush_happy.wav,happy
583,data/ravdess\Actor_25\25_01_01_01_take_sad.wav,sad
1963,data/ravdess\Actor_25\25_01_01_01_search_happy.wav,happy
1119,data/ravdess\Actor_25\25_01_01_01_numb_neutral.wav,neutral
1790,data/ravdess\Actor_21\03-02-03-02-01-02-21_happy.wav,happy
1618,data/ravdess\Actor_11\11_02_01_01_kids-talking_happy.wav,happy
1428,data/ravdess\Actor_02\02_01_02_02_dogs-sitting_happy.wav,happy
621,data/ravdess\Actor_26\26_01_01_01_base_sad.wav,sad
1581,data/ravdess\Actor_09\09_02_02_01_dogs-sitting_happy.wav,happy
991,data/ravdess\Actor_19\03-02-01-01-02-01-19_neutral.wav,neutral
278,data/ravdess\Actor_13\13_02_02_02_dogs-sitting_sad.wav,sad
2017,data/ravdess\Actor_26\26_01_01_01_bite_happy.wav,happy
185,data/ravdess\Actor_09\09_02_01_01_kids-talking_sad.wav,sad
1909,data/ravdess\Actor_25\25_01_01_01_lose_happy.wav,happy
1642,data/ravdess\Actor_12\12_02_01_01_kids-talking_happy.wav,happy
1688,data/ravdess\Actor_14\14_02_02_02_kids-talking_happy.wav,happy
19,data/ravdess\Actor_01\03-02-04-01-02-02-01_sad.wav,sad
1784,data/ravdess\Actor_20\20_01_02_02_kids-talking_happy.wav,happy
689,data/ravdess\Actor_26\26_01_01_01_jug_sad.wav,sad
1752,data/ravdess\Actor_19\03-02-03-02-02-02-19_happy.wav,happy
54,data/ravdess\Actor_03\03-02-04-02-02-01-03_sad.wav,sad
1998,data/ravdess\Actor_25\25_01_01_01_voice_happy.wav,happy
505,data/ravdess\Actor_25\25_01_01_01_late_sad.wav,sad
1624,data/ravdess\Actor_11\11_02_02_02_kids-talking_happy.wav,happy
64,data/ravdess\Actor_03\03_02_01_01_dogs-sitting_sad.wav,sad
1218,data/ravdess\Actor_26\26_01_01_01_calm_neutral.wav,neutral
1523,data/ravdess\Actor_06\06_01_01_01_kids-talking_happy.wav,happy
1060,data/ravdess\Actor_25\25_01_01_01_hall_neutral.wav,neutral
971,data/ravdess\Actor_16\03-02-01-01-02-01-16_neutral.wav,neutral
1047,data/ravdess\Actor_25\25_01_01_01_five_neutral.wav,neutral
113,data/ravdess\Actor_05\05_02_01_01_kids-talking_sad.wav,sad
1126,data/ravdess\Actor_25\25_01_01_01_perch_neutral.wav,neutral
