,path,emotion
0,data/emodb/wav\03a01Fa.wav,happy
1,data/emodb/wav\03a01Wa.wav,angry
2,data/emodb/wav\03a02Fc.wav,happy
3,data/emodb/wav\03a02Wb.wav,angry
4,data/emodb/wav\03a02Wc.wav,angry
5,data/emodb/wav\03a04Fd.wav,happy
6,data/emodb/wav\03a04Wc.wav,angry
7,data/emodb/wav\03a05Fc.wav,happy
8,data/emodb/wav\03a05Wa.wav,angry
9,data/emodb/wav\03a05Wb.wav,angry
10,data/emodb/wav\03a07Fa.wav,happy
11,data/emodb/wav\03a07Fb.wav,happy
12,data/emodb/wav\03a07Wc.wav,angry
13,data/emodb/wav\03b01Fa.wav,happy
14,data/emodb/wav\03b01Wa.wav,angry
15,data/emodb/wav\03b01Wc.wav,angry
16,data/emodb/wav\03b02Wb.wav,angry
17,data/emodb/wav\03b03Wc.wav,angry
18,data/emodb/wav\03b09Wa.wav,angry
19,data/emodb/wav\03b10Wb.wav,angry
20,data/emodb/wav\03b10Wc.wav,angry
21,data/emodb/wav\08a01Fd.wav,happy
22,data/emodb/wav\08a01Wa.wav,angry
23,data/emodb/wav\08a01Wc.wav,angry
24,data/emodb/wav\08a02Fe.wav,happy
25,data/emodb/wav\08a02Wc.wav,angry
26,data/emodb/wav\08a04Ff.wav,happy
27,data/emodb/wav\08a04Wc.wav,angry
28,data/emodb/wav\08a05Fe.wav,happy
29,data/emodb/wav\08a05Wa.wav,angry
30,data/emodb/wav\08a07Fd.wav,happy
31,data/emodb/wav\08a07Wc.wav,angry
32,data/emodb/wav\08b01Fd.wav,happy
33,data/emodb/wav\08b01Fe.wav,happy
34,data/emodb/wav\08b01Wa.wav,angry
35,data/emodb/wav\08b02Ff.wav,happy
36,data/emodb/wav\08b02Wd.wav,angry
37,data/emodb/wav\08b03Fe.wav,happy
38,data/emodb/wav\08b03Wd.wav,angry
39,data/emodb/wav\08b09Fd.wav,happy
40,data/emodb/wav\08b09Wa.wav,angry
41,data/emodb/wav\08b09Wc.wav,angry
42,data/emodb/wav\08b10Fd.wav,happy
43,data/emodb/wav\08b10Wa.wav,angry
44,data/emodb/wav\09a01Fa.wav,happy
45,data/emodb/wav\09a01Wb.wav,angry
46,data/emodb/wav\09a02Wb.wav,angry
47,data/emodb/wav\09a04Fd.wav,happy
48,data/emodb/wav\09a04Wa.wav,angry
49,data/emodb/wav\09a05Wb.wav,angry
50,data/emodb/wav\09a05Wc.wav,angry
51,data/emodb/wav\09a07Wb.wav,angry
52,data/emodb/wav\09a07Wd.wav,angry
53,data/emodb/wav\09b01Wb.wav,angry
54,data/emodb/wav\09b02Wc.wav,angry
55,data/emodb/wav\09b02Wd.wav,angry
56,data/emodb/wav\09b03Fa.wav,happy
57,data/emodb/wav\09b03Fd.wav,happy
58,data/emodb/wav\09b03Wb.wav,angry
59,data/emodb/wav\09b09Wa.wav,angry
60,data/emodb/wav\09b10Wa.wav,angry
61,data/emodb/wav\10a01Wa.wav,angry
62,data/emodb/wav\10a02Fa.wav,happy
63,data/emodb/wav\10a02Wa.wav,angry
64,data/emodb/wav\10a04Fd.wav,happy
