,path,emotion
0,D:\repos\CCSER\SER\data\emodb\wav\03a01Fa.wav,happy
1,D:\repos\CCSER\SER\data\emodb\wav\03a01Nc.wav,neutral
2,D:\repos\CCSER\SER\data\emodb\wav\03a01Wa.wav,angry
3,D:\repos\CCSER\SER\data\emodb\wav\03a02Fc.wav,happy
4,D:\repos\CCSER\SER\data\emodb\wav\03a02Nc.wav,neutral
5,D:\repos\CCSER\SER\data\emodb\wav\03a02Wb.wav,angry
6,D:\repos\CCSER\SER\data\emodb\wav\03a02Wc.wav,angry
7,D:\repos\CCSER\SER\data\emodb\wav\03a04Fd.wav,happy
8,D:\repos\CCSER\SER\data\emodb\wav\03a04Nc.wav,neutral
9,D:\repos\CCSER\SER\data\emodb\wav\03a04Wc.wav,angry
10,D:\repos\CCSER\SER\data\emodb\wav\03a05Fc.wav,happy
11,D:\repos\CCSER\SER\data\emodb\wav\03a05Nd.wav,neutral
12,D:\repos\CCSER\SER\data\emodb\wav\03a05Wa.wav,angry
13,D:\repos\CCSER\SER\data\emodb\wav\03a05Wb.wav,angry
14,D:\repos\CCSER\SER\data\emodb\wav\03a07Fa.wav,happy
15,D:\repos\CCSER\SER\data\emodb\wav\03a07Fb.wav,happy
16,D:\repos\CCSER\SER\data\emodb\wav\03a07Nc.wav,neutral
17,D:\repos\CCSER\SER\data\emodb\wav\03a07Wc.wav,angry
18,D:\repos\CCSER\SER\data\emodb\wav\03b01Fa.wav,happy
19,D:\repos\CCSER\SER\data\emodb\wav\03b01Nb.wav,neutral
20,D:\repos\CCSER\SER\data\emodb\wav\03b01Wa.wav,angry
21,D:\repos\CCSER\SER\data\emodb\wav\03b01Wc.wav,angry
22,D:\repos\CCSER\SER\data\emodb\wav\03b02Na.wav,neutral
23,D:\repos\CCSER\SER\data\emodb\wav\03b02Wb.wav,angry
24,D:\repos\CCSER\SER\data\emodb\wav\03b03Nb.wav,neutral
25,D:\repos\CCSER\SER\data\emodb\wav\03b03Wc.wav,angry
26,D:\repos\CCSER\SER\data\emodb\wav\03b09Nc.wav,neutral
27,D:\repos\CCSER\SER\data\emodb\wav\03b09Wa.wav,angry
28,D:\repos\CCSER\SER\data\emodb\wav\03b10Na.wav,neutral
29,D:\repos\CCSER\SER\data\emodb\wav\03b10Nc.wav,neutral
30,D:\repos\CCSER\SER\data\emodb\wav\03b10Wb.wav,angry
31,D:\repos\CCSER\SER\data\emodb\wav\03b10Wc.wav,angry
32,D:\repos\CCSER\SER\data\emodb\wav\08a01Fd.wav,happy
33,D:\repos\CCSER\SER\data\emodb\wav\08a01Na.wav,neutral
34,D:\repos\CCSER\SER\data\emodb\wav\08a01Wa.wav,angry
35,D:\repos\CCSER\SER\data\emodb\wav\08a01Wc.wav,angry
36,D:\repos\CCSER\SER\data\emodb\wav\08a02Fe.wav,happy
37,D:\repos\CCSER\SER\data\emodb\wav\08a02Na.wav,neutral
38,D:\repos\CCSER\SER\data\emodb\wav\08a02Wc.wav,angry
39,D:\repos\CCSER\SER\data\emodb\wav\08a04Ff.wav,happy
40,D:\repos\CCSER\SER\data\emodb\wav\08a04Nc.wav,neutral
41,D:\repos\CCSER\SER\data\emodb\wav\08a04Wc.wav,angry
42,D:\repos\CCSER\SER\data\emodb\wav\08a05Fe.wav,happy
43,D:\repos\CCSER\SER\data\emodb\wav\08a05Nb.wav,neutral
44,D:\repos\CCSER\SER\data\emodb\wav\08a05Wa.wav,angry
45,D:\repos\CCSER\SER\data\emodb\wav\08a07Fd.wav,happy
46,D:\repos\CCSER\SER\data\emodb\wav\08a07Na.wav,neutral
47,D:\repos\CCSER\SER\data\emodb\wav\08a07Wc.wav,angry
48,D:\repos\CCSER\SER\data\emodb\wav\08b01Fd.wav,happy
49,D:\repos\CCSER\SER\data\emodb\wav\08b01Fe.wav,happy
50,D:\repos\CCSER\SER\data\emodb\wav\08b01Na.wav,neutral
51,D:\repos\CCSER\SER\data\emodb\wav\08b01Wa.wav,angry
52,D:\repos\CCSER\SER\data\emodb\wav\08b02Ff.wav,happy
53,D:\repos\CCSER\SER\data\emodb\wav\08b02Nb.wav,neutral
54,D:\repos\CCSER\SER\data\emodb\wav\08b02Wd.wav,angry
55,D:\repos\CCSER\SER\data\emodb\wav\08b03Fe.wav,happy
56,D:\repos\CCSER\SER\data\emodb\wav\08b03Nb.wav,neutral
57,D:\repos\CCSER\SER\data\emodb\wav\08b03Wd.wav,angry
58,D:\repos\CCSER\SER\data\emodb\wav\08b09Fd.wav,happy
59,D:\repos\CCSER\SER\data\emodb\wav\08b09Nb.wav,neutral
60,D:\repos\CCSER\SER\data\emodb\wav\08b09Wa.wav,angry
61,D:\repos\CCSER\SER\data\emodb\wav\08b09Wc.wav,angry
62,D:\repos\CCSER\SER\data\emodb\wav\08b10Fd.wav,happy
63,D:\repos\CCSER\SER\data\emodb\wav\08b10Nc.wav,neutral
64,D:\repos\CCSER\SER\data\emodb\wav\08b10Wa.wav,angry
65,D:\repos\CCSER\SER\data\emodb\wav\09a01Fa.wav,happy
66,D:\repos\CCSER\SER\data\emodb\wav\09a01Nb.wav,neutral
67,D:\repos\CCSER\SER\data\emodb\wav\09a01Wb.wav,angry
68,D:\repos\CCSER\SER\data\emodb\wav\09a02Wb.wav,angry
69,D:\repos\CCSER\SER\data\emodb\wav\09a04Fd.wav,happy
70,D:\repos\CCSER\SER\data\emodb\wav\09a04Nb.wav,neutral
71,D:\repos\CCSER\SER\data\emodb\wav\09a04Wa.wav,angry
72,D:\repos\CCSER\SER\data\emodb\wav\09a05Nb.wav,neutral
73,D:\repos\CCSER\SER\data\emodb\wav\09a05Wb.wav,angry
74,D:\repos\CCSER\SER\data\emodb\wav\09a05Wc.wav,angry
75,D:\repos\CCSER\SER\data\emodb\wav\09a07Na.wav,neutral
76,D:\repos\CCSER\SER\data\emodb\wav\09a07Wb.wav,angry
77,D:\repos\CCSER\SER\data\emodb\wav\09a07Wd.wav,angry
78,D:\repos\CCSER\SER\data\emodb\wav\09b01Na.wav,neutral
79,D:\repos\CCSER\SER\data\emodb\wav\09b01Wb.wav,angry
80,D:\repos\CCSER\SER\data\emodb\wav\09b02Na.wav,neutral
81,D:\repos\CCSER\SER\data\emodb\wav\09b02Wc.wav,angry
82,D:\repos\CCSER\SER\data\emodb\wav\09b02Wd.wav,angry
83,D:\repos\CCSER\SER\data\emodb\wav\09b03Fa.wav,happy
84,D:\repos\CCSER\SER\data\emodb\wav\09b03Fd.wav,happy
85,D:\repos\CCSER\SER\data\emodb\wav\09b03Nb.wav,neutral
86,D:\repos\CCSER\SER\data\emodb\wav\09b03Wb.wav,angry
87,D:\repos\CCSER\SER\data\emodb\wav\09b09Nd.wav,neutral
88,D:\repos\CCSER\SER\data\emodb\wav\09b09Wa.wav,angry
89,D:\repos\CCSER\SER\data\emodb\wav\09b10Nd.wav,neutral
90,D:\repos\CCSER\SER\data\emodb\wav\09b10Wa.wav,angry
91,D:\repos\CCSER\SER\data\emodb\wav\10a01Nb.wav,neutral
92,D:\repos\CCSER\SER\data\emodb\wav\10a01Wa.wav,angry
93,D:\repos\CCSER\SER\data\emodb\wav\10a02Fa.wav,happy
94,D:\repos\CCSER\SER\data\emodb\wav\10a02Na.wav,neutral
95,D:\repos\CCSER\SER\data\emodb\wav\10a02Wa.wav,angry
96,D:\repos\CCSER\SER\data\emodb\wav\10a04Fd.wav,happy
97,D:\repos\CCSER\SER\data\emodb\wav\10a04Nb.wav,neutral
98,D:\repos\CCSER\SER\data\emodb\wav\10a04Wa.wav,angry
99,D:\repos\CCSER\SER\data\emodb\wav\10a04Wb.wav,angry
100,D:\repos\CCSER\SER\data\emodb\wav\10a05Wb.wav,angry
101,D:\repos\CCSER\SER\data\emodb\wav\10a07Wb.wav,angry
102,D:\repos\CCSER\SER\data\emodb\wav\10b01Fa.wav,happy
103,D:\repos\CCSER\SER\data\emodb\wav\10b02Na.wav,neutral
104,D:\repos\CCSER\SER\data\emodb\wav\10b02Wb.wav,angry
105,D:\repos\CCSER\SER\data\emodb\wav\10b03Wb.wav,angry
106,D:\repos\CCSER\SER\data\emodb\wav\10b09Wb.wav,angry
107,D:\repos\CCSER\SER\data\emodb\wav\10b10Fc.wav,happy
108,D:\repos\CCSER\SER\data\emodb\wav\10b10Wa.wav,angry
109,D:\repos\CCSER\SER\data\emodb\wav\11a01Nd.wav,neutral
110,D:\repos\CCSER\SER\data\emodb\wav\11a01Wc.wav,angry
111,D:\repos\CCSER\SER\data\emodb\wav\11a02Fb.wav,happy
112,D:\repos\CCSER\SER\data\emodb\wav\11a02Nc.wav,neutral
113,D:\repos\CCSER\SER\data\emodb\wav\11a02Wc.wav,angry
114,D:\repos\CCSER\SER\data\emodb\wav\11a04Fd.wav,happy
115,D:\repos\CCSER\SER\data\emodb\wav\11a04Nd.wav,neutral
116,D:\repos\CCSER\SER\data\emodb\wav\11a04Wc.wav,angry
117,D:\repos\CCSER\SER\data\emodb\wav\11a05Fb.wav,happy
118,D:\repos\CCSER\SER\data\emodb\wav\11a05Fc.wav,happy
119,D:\repos\CCSER\SER\data\emodb\wav\11a05Na.wav,neutral
120,D:\repos\CCSER\SER\data\emodb\wav\11a05Wd.wav,angry
121,D:\repos\CCSER\SER\data\emodb\wav\11a07Wc.wav,angry
122,D:\repos\CCSER\SER\data\emodb\wav\11b01Fc.wav,happy
123,D:\repos\CCSER\SER\data\emodb\wav\11b01Nc.wav,neutral
