,path,emotion
0,D:\repos\CCSER\SER\data\emodb\wav\14a02Wa.wav,angry
119,D:\repos\CCSER\SER\data\emodb\wav\11a07Wc.wav,angry
123,D:\repos\CCSER\SER\data\emodb\wav\10b02Wb.wav,angry
124,D:\repos\CCSER\SER\data\emodb\wav\08b09Wc.wav,angry
125,D:\repos\CCSER\SER\data\emodb\wav\16b03Wb.wav,angry
126,D:\repos\CCSER\SER\data\emodb\wav\14b02Wd.wav,angry
127,D:\repos\CCSER\SER\data\emodb\wav\10b09Wb.wav,angry
118,D:\repos\CCSER\SER\data\emodb\wav\12b09Wc.wav,angry
129,D:\repos\CCSER\SER\data\emodb\wav\03a07Wc.wav,angry
132,D:\repos\CCSER\SER\data\emodb\wav\15a04Wa.wav,angry
133,D:\repos\CCSER\SER\data\emodb\wav\11b02Wb.wav,angry
134,D:\repos\CCSER\SER\data\emodb\wav\03b03Wc.wav,angry
136,D:\repos\CCSER\SER\data\emodb\wav\12b02Wa.wav,angry
137,D:\repos\CCSER\SER\data\emodb\wav\14a01Wc.wav,angry
139,D:\repos\CCSER\SER\data\emodb\wav\12b10Wa.wav,angry
130,D:\repos\CCSER\SER\data\emodb\wav\15b10Wa.wav,angry
140,D:\repos\CCSER\SER\data\emodb\wav\11a05Wd.wav,angry
113,D:\repos\CCSER\SER\data\emodb\wav\09b10Wa.wav,angry
108,D:\repos\CCSER\SER\data\emodb\wav\12b02Wd.wav,angry
81,D:\repos\CCSER\SER\data\emodb\wav\10a04Wa.wav,angry
85,D:\repos\CCSER\SER\data\emodb\wav\15a02Wb.wav,angry
88,D:\repos\CCSER\SER\data\emodb\wav\12a02Wa.wav,angry
89,D:\repos\CCSER\SER\data\emodb\wav\09b02Wc.wav,angry
90,D:\repos\CCSER\SER\data\emodb\wav\08b02Wd.wav,angry
93,D:\repos\CCSER\SER\data\emodb\wav\16a04Wb.wav,angry
111,D:\repos\CCSER\SER\data\emodb\wav\15b09Wb.wav,angry
97,D:\repos\CCSER\SER\data\emodb\wav\16a04Wc.wav,angry
99,D:\repos\CCSER\SER\data\emodb\wav\14a05Wb.wav,angry
102,D:\repos\CCSER\SER\data\emodb\wav\11b03Wa.wav,angry
104,D:\repos\CCSER\SER\data\emodb\wav\16b10Wa.wav,angry
105,D:\repos\CCSER\SER\data\emodb\wav\03b02Wb.wav,angry
212,D:\repos\CCSER\SER\data\emodb\wav\10a02Wa.wav,angry
107,D:\repos\CCSER\SER\data\emodb\wav\11b01Wd.wav,angry
98,D:\repos\CCSER\SER\data\emodb\wav\08a04Wc.wav,angry
141,D:\repos\CCSER\SER\data\emodb\wav\09a02Wb.wav,angry
142,D:\repos\CCSER\SER\data\emodb\wav\09a05Wc.wav,angry
144,D:\repos\CCSER\SER\data\emodb\wav\03a05Wa.wav,angry
