,path,emotion
0,data/emodb/wav\03a01Wa.wav,angry
1,data/emodb/wav\03a02Ta.wav,sad
2,data/emodb/wav\03a02Wb.wav,angry
3,data/emodb/wav\03a02Wc.wav,angry
4,data/emodb/wav\03a04Ta.wav,sad
5,data/emodb/wav\03a04Wc.wav,angry
6,data/emodb/wav\03a05Tc.wav,sad
7,data/emodb/wav\03a05Wa.wav,angry
8,data/emodb/wav\03a05Wb.wav,angry
9,data/emodb/wav\03a07Wc.wav,angry
10,data/emodb/wav\03b01Td.wav,sad
11,data/emodb/wav\03b01Wa.wav,angry
12,data/emodb/wav\03b01Wc.wav,angry
13,data/emodb/wav\03b02Tb.wav,sad
14,data/emodb/wav\03b02Wb.wav,angry
15,data/emodb/wav\03b03Tc.wav,sad
16,data/emodb/wav\03b03Wc.wav,angry
17,data/emodb/wav\03b09Tc.wav,sad
18,data/emodb/wav\03b09Wa.wav,angry
19,data/emodb/wav\03b10Wb.wav,angry
20,data/emodb/wav\03b10Wc.wav,angry
21,data/emodb/wav\08a01Wa.wav,angry
22,data/emodb/wav\08a01Wc.wav,angry
23,data/emodb/wav\08a02Tb.wav,sad
24,data/emodb/wav\08a02Wc.wav,angry
25,data/emodb/wav\08a04Tb.wav,sad
26,data/emodb/wav\08a04Wc.wav,angry
27,data/emodb/wav\08a05Ta.wav,sad
28,data/emodb/wav\08a05Wa.wav,angry
29,data/emodb/wav\08a07Ta.wav,sad
30,data/emodb/wav\08a07Tb.wav,sad
31,data/emodb/wav\08a07Wc.wav,angry
32,data/emodb/wav\08b01Wa.wav,angry
33,data/emodb/wav\08b02Tc.wav,sad
34,data/emodb/wav\08b02Wd.wav,angry
35,data/emodb/wav\08b03Tc.wav,sad
36,data/emodb/wav\08b03Wd.wav,angry
37,data/emodb/wav\08b09Tb.wav,sad
38,data/emodb/wav\08b09Wa.wav,angry
39,data/emodb/wav\08b09Wc.wav,angry
40,data/emodb/wav\08b10Tc.wav,sad
41,data/emodb/wav\08b10Wa.wav,angry
42,data/emodb/wav\09a01Wb.wav,angry
43,data/emodb/wav\09a02Wb.wav,angry
44,data/emodb/wav\09a04Wa.wav,angry
45,data/emodb/wav\09a05Tb.wav,sad
46,data/emodb/wav\09a05Wb.wav,angry
47,data/emodb/wav\09a05Wc.wav,angry
48,data/emodb/wav\09a07Ta.wav,sad
49,data/emodb/wav\09a07Wb.wav,angry
50,data/emodb/wav\09a07Wd.wav,angry
51,data/emodb/wav\09b01Wb.wav,angry
52,data/emodb/wav\09b02Tb.wav,sad
53,data/emodb/wav\09b02Wc.wav,angry
54,data/emodb/wav\09b02Wd.wav,angry
55,data/emodb/wav\09b03Ta.wav,sad
56,data/emodb/wav\09b03Wb.wav,angry
57,data/emodb/wav\09b09Wa.wav,angry
58,data/emodb/wav\09b10Wa.wav,angry
59,data/emodb/wav\10a01Wa.wav,angry
60,data/emodb/wav\10a02Wa.wav,angry
61,data/emodb/wav\10a04Wa.wav,angry
62,data/emodb/wav\10a04Wb.wav,angry
63,data/emodb/wav\10a05Tb.wav,sad
64,data/emodb/wav\10a05Wb.wav,angry
65,data/emodb/wav\10a07Ta.wav,sad
66,data/emodb/wav\10a07Wb.wav,angry
67,data/emodb/wav\10b02Wb.wav,angry
68,data/emodb/wav\10b03Tb.wav,sad
69,data/emodb/wav\10b03Wb.wav,angry
70,data/emodb/wav\10b09Wb.wav,angry
71,data/emodb/wav\10b10Wa.wav,angry
72,data/emodb/wav\11a01Wc.wav,angry
73,data/emodb/wav\11a02Tc.wav,sad
74,data/emodb/wav\11a02Wc.wav,angry
75,data/emodb/wav\11a04Wc.wav,angry
76,data/emodb/wav\11a05Td.wav,sad
77,data/emodb/wav\11a05Wd.wav,angry
78,data/emodb/wav\11a07Ta.wav,sad
79,data/emodb/wav\11a07Wc.wav,angry
80,data/emodb/wav\11b01Wd.wav,angry
81,data/emodb/wav\11b02Td.wav,sad
82,data/emodb/wav\11b02Wb.wav,angry
83,data/emodb/wav\11b03Td.wav,sad
84,data/emodb/wav\11b03Wa.wav,angry
85,data/emodb/wav\11b03Wb.wav,angry
86,data/emodb/wav\11b09Td.wav,sad
87,data/emodb/wav\11b09Wa.wav,angry
88,data/emodb/wav\11b10Td.wav,sad
89,data/emodb/wav\11b10Wa.wav,angry
90,data/emodb/wav\12a01Wc.wav,angry
91,data/emodb/wav\12a02Wa.wav,angry
92,data/emodb/wav\12a02Wc.wav,angry
93,data/emodb/wav\12a04Wc.wav,angry
94,data/emodb/wav\12a05Ta.wav,sad
95,data/emodb/wav\12a05Wb.wav,angry
96,data/emodb/wav\12a07Wa.wav,angry
97,data/emodb/wav\12b01Ta.wav,sad
98,data/emodb/wav\12b01Wa.wav,angry
99,data/emodb/wav\12b02Wa.wav,angry
100,data/emodb/wav\12b02Wb.wav,angry
101,data/emodb/wav\12b02Wd.wav,angry
102,data/emodb/wav\12b03Ta.wav,sad
103,data/emodb/wav\12b09Td.wav,sad
104,data/emodb/wav\12b09Wc.wav,angry
105,data/emodb/wav\12b10Wa.wav,angry
106,data/emodb/wav\13a01Wb.wav,angry
107,data/emodb/wav\13a02Ta.wav,sad
108,data/emodb/wav\13a02Wa.wav,angry
109,data/emodb/wav\13a04Ta.wav,sad
110,data/emodb/wav\13a04Wc.wav,angry
111,data/emodb/wav\13a05Tc.wav,sad
112,data/emodb/wav\13a05Wa.wav,angry
113,data/emodb/wav\13a05Wc.wav,angry
114,data/emodb/wav\13a07Tc.wav,sad
115,data/emodb/wav\13a07Wb.wav,angry
116,data/emodb/wav\13b01Wa.wav,angry
117,data/emodb/wav\13b02Wa.wav,angry
118,data/emodb/wav\13b03Td.wav,sad
119,data/emodb/wav\13b03Wc.wav,angry
120,data/emodb/wav\13b09Wa.wav,angry
