,path,emotion
92,D:\repos\CCSER\SER\data\emodb\wav\03a01Fa.wav,happy
136,D:\repos\CCSER\SER\data\emodb\wav\14b09Fc.wav,happy
35,D:\repos\CCSER\SER\data\emodb\wav\13a07Fd.wav,happy
74,D:\repos\CCSER\SER\data\emodb\wav\09b03Fd.wav,happy
37,D:\repos\CCSER\SER\data\emodb\wav\14a05Fa.wav,happy
38,D:\repos\CCSER\SER\data\emodb\wav\08b10Fd.wav,happy
125,D:\repos\CCSER\SER\data\emodb\wav\14a02Fd.wav,happy
40,D:\repos\CCSER\SER\data\emodb\wav\15a07Fb.wav,happy
41,D:\repos\CCSER\SER\data\emodb\wav\13a02Fa.wav,happy
167,D:\repos\CCSER\SER\data\emodb\wav\08b01Fe.wav,happy
123,D:\repos\CCSER\SER\data\emodb\wav\10a04Fd.wav,happy
95,D:\repos\CCSER\SER\data\emodb\wav\11a02Fb.wav,happy
121,D:\repos\CCSER\SER\data\emodb\wav\13b02Fb.wav,happy
46,D:\repos\CCSER\SER\data\emodb\wav\16a07Fa.wav,happy
119,D:\repos\CCSER\SER\data\emodb\wav\11a05Fc.wav,happy
48,D:\repos\CCSER\SER\data\emodb\wav\11b01Fc.wav,happy
117,D:\repos\CCSER\SER\data\emodb\wav\09a01Fa.wav,happy
116,D:\repos\CCSER\SER\data\emodb\wav\08b03Fe.wav,happy
51,D:\repos\CCSER\SER\data\emodb\wav\08a04Ff.wav,happy
52,D:\repos\CCSER\SER\data\emodb\wav\15a04Fd.wav,happy
53,D:\repos\CCSER\SER\data\emodb\wav\16a07Fb.wav,happy
55,D:\repos\CCSER\SER\data\emodb\wav\16a04Fa.wav,happy
111,D:\repos\CCSER\SER\data\emodb\wav\08a01Fd.wav,happy
97,D:\repos\CCSER\SER\data\emodb\wav\08a07Fd.wav,happy
108,D:\repos\CCSER\SER\data\emodb\wav\16b02Fd.wav,happy
59,D:\repos\CCSER\SER\data\emodb\wav\14b01Fc.wav,happy
70,D:\repos\CCSER\SER\data\emodb\wav\13b01Fc.wav,happy
98,D:\repos\CCSER\SER\data\emodb\wav\03a04Fd.wav,happy
100,D:\repos\CCSER\SER\data\emodb\wav\03a07Fb.wav,happy
101,D:\repos\CCSER\SER\data\emodb\wav\13b09Fb.wav,happy
137,D:\repos\CCSER\SER\data\emodb\wav\09a04Fd.wav,happy
64,D:\repos\CCSER\SER\data\emodb\wav\13b09Fc.wav,happy
103,D:\repos\CCSER\SER\data\emodb\wav\16b01Fa.wav,happy
156,D:\repos\CCSER\SER\data\emodb\wav\10b01Fa.wav,happy
