,path,emotion
1498,data/ravdess\Actor_26\26_01_01_01_learn_happy.wav,happy
1078,data/ravdess\Actor_13\13_02_01_02_kids-talking_happy.wav,happy
1468,data/ravdess\Actor_26\26_01_01_01_gun_happy.wav,happy
376,data/ravdess\Actor_20\03-02-05-01-02-02-20_angry.wav,angry
482,data/ravdess\Actor_25\25_01_01_01_hit_angry.wav,angry
1525,data/ravdess\Actor_26\26_01_01_01_near_happy.wav,happy
475,data/ravdess\Actor_25\25_01_01_01_half_angry.wav,angry
1497,data/ravdess\Actor_26\26_01_01_01_lean_happy.wav,happy
42,data/ravdess\Actor_02\03-02-05-02-01-02-02_angry.wav,angry
1258,data/ravdess\Actor_24\24_01_02_02_kids-talking_happy.wav,happy
808,data/ravdess\Actor_26\26_01_01_01_youth_angry.wav,angry
993,data/ravdess\Actor_09\09_02_02_02_dogs-sitting_happy.wav,happy
641,data/ravdess\Actor_26\26_01_01_01_ditch_angry.wav,angry
1217,data/ravdess\Actor_22\03-02-03-02-02-01-22_happy.wav,happy
1330,data/ravdess\Actor_25\25_01_01_01_mode_happy.wav,happy
309,data/ravdess\Actor_16\03-02-05-01-01-01-16_angry.wav,angry
746,data/ravdess\Actor_26\26_01_01_01_ripe_angry.wav,angry
434,data/ravdess\Actor_23\23_01_02_01_kids-talking_angry.wav,angry
692,data/ravdess\Actor_26\26_01_01_01_learn_angry.wav,angry
47,data/ravdess\Actor_03\03-02-05-01-02-01-03_angry.wav,angry
1199,data/ravdess\Actor_21\03-02-03-02-01-01-21_happy.wav,happy
517,data/ravdess\Actor_25\25_01_01_01_make_angry.wav,angry
771,data/ravdess\Actor_26\26_01_01_01_such_angry.wav,angry
220,data/ravdess\Actor_11\11_01_02_02_kids-talking_angry.wav,angry
1210,data/ravdess\Actor_21\21_01_02_02_kids-talking_happy.wav,happy
529,data/ravdess\Actor_25\25_01_01_01_nag_angry.wav,angry
1453,data/ravdess\Actor_26\26_01_01_01_fall_happy.wav,happy
524,data/ravdess\Actor_25\25_01_01_01_mode_angry.wav,angry
362,data/ravdess\Actor_19\19_01_02_01_kids-talking_angry.wav,angry
