,path,emotion
1957,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_shall_neutral.wav,neutral
1764,D:\repos\CCSER\SER\data\ravdess\Actor_15\03-02-01-01-01-02-15_neutral.wav,neutral
1116,D:\repos\CCSER\SER\data\ravdess\Actor_16\03-02-03-01-01-02-16_happy.wav,happy
267,D:\repos\CCSER\SER\data\ravdess\Actor_13\13_01_02_02_dogs-sitting_angry.wav,angry
1069,D:\repos\CCSER\SER\data\ravdess\Actor_13\13_01_01_02_dogs-sitting_happy.wav,happy
223,D:\repos\CCSER\SER\data\ravdess\Actor_11\11_02_01_02_dogs-sitting_angry.wav,angry
1813,D:\repos\CCSER\SER\data\ravdess\Actor_21\03-02-01-01-02-01-21_neutral.wav,neutral
1754,D:\repos\CCSER\SER\data\ravdess\Actor_13\13_02_01_02_kids-talking_neutral.wav,neutral
1983,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_ton_neutral.wav,neutral
1421,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_back_happy.wav,happy
1774,D:\repos\CCSER\SER\data\ravdess\Actor_16\03-02-01-01-02-02-16_neutral.wav,neutral
1407,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_vine_happy.wav,happy
1766,D:\repos\CCSER\SER\data\ravdess\Actor_15\03-02-01-01-02-02-15_neutral.wav,neutral
1510,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_luck_happy.wav,happy
861,D:\repos\CCSER\SER\data\ravdess\Actor_03\03-02-03-02-01-02-03_happy.wav,happy
776,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_team_angry.wav,angry
152,D:\repos\CCSER\SER\data\ravdess\Actor_07\07_02_01_02_kids-talking_angry.wav,angry
427,D:\repos\CCSER\SER\data\ravdess\Actor_23\03-02-05-02-02-01-23_angry.wav,angry
1801,D:\repos\CCSER\SER\data\ravdess\Actor_19\19_02_01_02_dogs-sitting_neutral.wav,neutral
1861,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_half_neutral.wav,neutral
979,D:\repos\CCSER\SER\data\ravdess\Actor_09\09_01_01_01_dogs-sitting_happy.wav,happy
1799,D:\repos\CCSER\SER\data\ravdess\Actor_19\19_02_01_01_dogs-sitting_neutral.wav,neutral
965,D:\repos\CCSER\SER\data\ravdess\Actor_08\08_01_01_02_dogs-sitting_happy.wav,happy
55,D:\repos\CCSER\SER\data\ravdess\Actor_03\03_01_01_02_dogs-sitting_angry.wav,angry
1944,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_ripe_neutral.wav,neutral
1235,D:\repos\CCSER\SER\data\ravdess\Actor_23\23_01_01_01_dogs-sitting_happy.wav,happy
511,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_long_angry.wav,angry
1999,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_white_neutral.wav,neutral
