,path,emotion
2488,data/ravdess\Actor_25\25_01_01_01_team_ps.wav,ps
2462,data/ravdess\Actor_25\25_01_01_01_rot_ps.wav,ps
3236,data/ravdess\Actor_25\25_01_01_01_make_sad.wav,sad
982,data/ravdess\Actor_09\09_01_01_02_kids-talking_happy.wav,happy
674,data/ravdess\Actor_26\26_01_01_01_hush_angry.wav,angry
454,data/ravdess\Actor_24\24_02_01_01_kids-talking_angry.wav,angry
2178,data/ravdess\Actor_26\26_01_01_01_tool_neutral.wav,neutral
722,data/ravdess\Actor_26\26_01_01_01_note_angry.wav,angry
1359,data/ravdess\Actor_25\25_01_01_01_rat_happy.wav,happy
2793,data/ravdess\Actor_04\03-02-04-02-02-01-04_sad.wav,sad
2649,data/ravdess\Actor_26\26_01_01_01_read_ps.wav,ps
3503,data/ravdess\Actor_26\26_01_01_01_tire_sad.wav,sad
1021,data/ravdess\Actor_11\11_01_01_02_dogs-sitting_happy.wav,happy
955,data/ravdess\Actor_07\07_02_01_01_dogs-sitting_happy.wav,happy
2594,data/ravdess\Actor_26\26_01_01_01_knock_ps.wav,ps
2423,data/ravdess\Actor_25\25_01_01_01_mob_ps.wav,ps
1944,data/ravdess\Actor_25\25_01_01_01_ripe_neutral.wav,neutral
1127,data/ravdess\Actor_16\16_02_02_01_dogs-sitting_happy.wav,happy
3275,data/ravdess\Actor_25\25_01_01_01_rot_sad.wav,sad
1533,data/ravdess\Actor_26\26_01_01_01_pass_happy.wav,happy
2520,data/ravdess\Actor_25\25_01_01_01_youth_ps.wav,ps
353,data/ravdess\Actor_19\03-02-05-02-01-01-19_angry.wav,angry
3082,data/ravdess\Actor_19\19_01_02_02_kids-talking_sad.wav,sad
3044,data/ravdess\Actor_17\03-02-04-01-01-02-17_sad.wav,sad
2833,data/ravdess\Actor_05\05_02_02_02_dogs-sitting_sad.wav,sad
768,data/ravdess\Actor_26\26_01_01_01_sour_angry.wav,angry
