,path,emotion
2088,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_keg_sad.wav,sad
2013,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_youth_sad.wav,sad
1081,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_late_neutral.wav,neutral
1166,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_talk_neutral.wav,neutral
2186,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_tough_sad.wav,sad
2020,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_bite_sad.wav,sad
811,D:\repos\CCSER\SER\data\ravdess\Actor_01\01_01_01_02_dogs-sitting_neutral.wav,neutral
1303,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_nag_neutral.wav,neutral
1119,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_pass_neutral.wav,neutral
267,D:\repos\CCSER\SER\data\ravdess\Actor_13\13_01_02_02_dogs-sitting_angry.wav,angry
1093,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_lose_neutral.wav,neutral
223,D:\repos\CCSER\SER\data\ravdess\Actor_11\11_02_01_02_dogs-sitting_angry.wav,angry
989,D:\repos\CCSER\SER\data\ravdess\Actor_19\19_01_01_01_dogs-sitting_neutral.wav,neutral
1675,D:\repos\CCSER\SER\data\ravdess\Actor_14\03-02-04-01-01-01-14_sad.wav,sad
1995,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_voice_sad.wav,sad
982,D:\repos\CCSER\SER\data\ravdess\Actor_18\18_01_01_01_kids-talking_neutral.wav,neutral
1907,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_limb_sad.wav,sad
2058,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_gap_sad.wav,sad
1775,D:\repos\CCSER\SER\data\ravdess\Actor_20\03-02-04-02-01-01-20_sad.wav,sad
1518,D:\repos\CCSER\SER\data\ravdess\Actor_06\03-02-04-01-02-02-06_sad.wav,sad
2118,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_mood_sad.wav,sad
1052,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_good_neutral.wav,neutral
152,D:\repos\CCSER\SER\data\ravdess\Actor_07\07_02_01_02_kids-talking_angry.wav,angry
427,D:\repos\CCSER\SER\data\ravdess\Actor_23\03-02-05-02-02-01-23_angry.wav,angry
1810,D:\repos\CCSER\SER\data\ravdess\Actor_22\03-02-04-02-02-02-22_sad.wav,sad
1870,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_goal_sad.wav,sad
