,path,emotion
446,data/ravdess\Actor_24\24_01_01_01_kids-talking_angry.wav,angry
914,data/ravdess\Actor_05\05_01_01_01_kids-talking_sad.wav,sad
1217,data/ravdess\Actor_22\03-02-04-01-01-01-22_sad.wav,sad
1274,data/ravdess\Actor_25\25_01_01_01_fat_sad.wav,sad
436,data/ravdess\Actor_23\23_01_02_02_kids-talking_angry.wav,angry
1470,data/ravdess\Actor_26\26_01_01_01_five_sad.wav,sad
276,data/ravdess\Actor_13\13_02_02_02_kids-talking_angry.wav,angry
442,data/ravdess\Actor_24\03-02-05-02-01-02-24_angry.wav,angry
184,data/ravdess\Actor_09\09_02_01_02_kids-talking_angry.wav,angry
1433,data/ravdess\Actor_26\26_01_01_01_beg_sad.wav,sad
1197,data/ravdess\Actor_20\20_01_02_01_dogs-sitting_sad.wav,sad
452,data/ravdess\Actor_24\24_01_02_02_kids-talking_angry.wav,angry
1505,data/ravdess\Actor_26\26_01_01_01_king_sad.wav,sad
1380,data/ravdess\Actor_25\25_01_01_01_sheep_sad.wav,sad
1475,data/ravdess\Actor_26\26_01_01_01_germ_sad.wav,sad
376,data/ravdess\Actor_20\03-02-05-01-02-02-20_angry.wav,angry
511,data/ravdess\Actor_25\25_01_01_01_long_angry.wav,angry
1038,data/ravdess\Actor_11\11_02_02_01_kids-talking_sad.wav,sad
796,data/ravdess\Actor_26\26_01_01_01_week_angry.wav,angry
1504,data/ravdess\Actor_26\26_01_01_01_kill_sad.wav,sad
42,data/ravdess\Actor_02\03-02-05-02-01-02-02_angry.wav,angry
1148,data/ravdess\Actor_17\17_02_01_02_kids-talking_sad.wav,sad
820,data/ravdess\Actor_01\01_02_01_02_kids-talking_sad.wav,sad
1084,data/ravdess\Actor_13\13_02_01_02_kids-talking_sad.wav,sad
1288,data/ravdess\Actor_25\25_01_01_01_half_sad.wav,sad
1224,data/ravdess\Actor_22\03-02-04-02-02-02-22_sad.wav,sad
1161,data/ravdess\Actor_19\03-02-04-01-01-01-19_sad.wav,sad
309,data/ravdess\Actor_16\03-02-05-01-01-01-16_angry.wav,angry
1115,data/ravdess\Actor_15\15_02_01_02_dogs-sitting_sad.wav,sad
838,data/ravdess\Actor_02\02_01_02_01_kids-talking_sad.wav,sad
1390,data/ravdess\Actor_25\25_01_01_01_such_sad.wav,sad
47,data/ravdess\Actor_03\03-02-05-01-02-01-03_angry.wav,angry
1478,data/ravdess\Actor_26\26_01_01_01_goal_sad.wav,sad
527,data/ravdess\Actor_25\25_01_01_01_mop_angry.wav,angry
969,data/ravdess\Actor_08\08_01_01_01_dogs-sitting_sad.wav,sad
220,data/ravdess\Actor_11\11_01_02_02_kids-talking_angry.wav,angry
587,data/ravdess\Actor_25\25_01_01_01_thumb_angry.wav,angry
539,data/ravdess\Actor_25\25_01_01_01_pass_angry.wav,angry
648,data/ravdess\Actor_26\26_01_01_01_far_angry.wav,angry
1463,data/ravdess\Actor_26\26_01_01_01_doll_sad.wav,sad
362,data/ravdess\Actor_19\19_01_02_01_kids-talking_angry.wav,angry
557,data/ravdess\Actor_25\25_01_01_01_rough_angry.wav,angry
506,data/ravdess\Actor_25\25_01_01_01_lid_angry.wav,angry
553,data/ravdess\Actor_25\25_01_01_01_road_angry.wav,angry
1248,data/ravdess\Actor_23\23_01_02_02_kids-talking_sad.wav,sad
475,data/ravdess\Actor_25\25_01_01_01_half_angry.wav,angry
140,data/ravdess\Actor_06\06_02_02_02_kids-talking_angry.wav,angry
1476,data/ravdess\Actor_26\26_01_01_01_get_sad.wav,sad
760,data/ravdess\Actor_26\26_01_01_01_shawl_angry.wav,angry
1331,data/ravdess\Actor_25\25_01_01_01_match_sad.wav,sad
77,data/ravdess\Actor_04\04_01_01_01_dogs-sitting_angry.wav,angry
39,data/ravdess\Actor_02\03-02-05-01-02-01-02_angry.wav,angry
568,data/ravdess\Actor_25\25_01_01_01_shirt_angry.wav,angry
805,data/ravdess\Actor_26\26_01_01_01_yearn_angry.wav,angry
1047,data/ravdess\Actor_12\03-02-04-02-02-01-12_sad.wav,sad
322,data/ravdess\Actor_16\16_02_02_01_kids-talking_angry.wav,angry
948,data/ravdess\Actor_06\06_02_01_02_kids-talking_sad.wav,sad
251,data/ravdess\Actor_12\12_02_02_02_dogs-sitting_angry.wav,angry
642,data/ravdess\Actor_26\26_01_01_01_dodge_angry.wav,angry
1079,data/ravdess\Actor_13\13_01_02_02_dogs-sitting_sad.wav,sad
810,data/ravdess\Actor_01\01_01_01_01_kids-talking_sad.wav,sad
1074,data/ravdess\Actor_13\13_01_01_01_kids-talking_sad.wav,sad
1587,data/ravdess\Actor_26\26_01_01_01_sour_sad.wav,sad
828,data/ravdess\Actor_01\03-02-04-01-02-02-01_sad.wav,sad
501,data/ravdess\Actor_25\25_01_01_01_late_angry.wav,angry
1276,data/ravdess\Actor_25\25_01_01_01_five_sad.wav,sad
58,data/ravdess\Actor_03\03_01_02_01_kids-talking_angry.wav,angry
1003,data/ravdess\Actor_10\10_01_01_02_dogs-sitting_sad.wav,sad
1543,data/ravdess\Actor_26\26_01_01_01_pad_sad.wav,sad
241,data/ravdess\Actor_12\12_01_02_01_dogs-sitting_angry.wav,angry
844,data/ravdess\Actor_02\02_02_01_02_kids-talking_sad.wav,sad
330,data/ravdess\Actor_17\03-02-05-02-01-02-17_angry.wav,angry
1002,data/ravdess\Actor_10\10_01_01_01_kids-talking_sad.wav,sad
930,data/ravdess\Actor_06\03-02-04-01-01-02-06_sad.wav,sad
