,path,emotion
413,D:\repos\CCSER\SER\data\ravdess\Actor_22\22_01_01_02_kids-talking_happy.wav,happy
165,D:\repos\CCSER\SER\data\ravdess\Actor_08\08_02_01_02_kids-talking_happy.wav,happy
349,D:\repos\CCSER\SER\data\ravdess\Actor_19\03-02-03-01-02-02-19_happy.wav,happy
371,D:\repos\CCSER\SER\data\ravdess\Actor_20\03-02-03-01-01-02-20_happy.wav,happy
507,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_loaf_happy.wav,happy
710,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_mood_happy.wav,happy
395,D:\repos\CCSER\SER\data\ravdess\Actor_21\21_01_01_01_kids-talking_happy.wav,happy
625,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_calm_happy.wav,happy
695,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_loaf_happy.wav,happy
761,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_shout_happy.wav,happy
274,D:\repos\CCSER\SER\data\ravdess\Actor_14\03-02-03-01-01-01-14_happy.wav,happy
263,D:\repos\CCSER\SER\data\ravdess\Actor_13\13_01_02_01_kids-talking_happy.wav,happy
783,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_tool_happy.wav,happy
43,D:\repos\CCSER\SER\data\ravdess\Actor_02\03-02-03-02-01-01-02_happy.wav,happy
433,D:\repos\CCSER\SER\data\ravdess\Actor_23\23_01_02_02_kids-talking_happy.wav,happy
771,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_talk_happy.wav,happy
51,D:\repos\CCSER\SER\data\ravdess\Actor_03\03-02-03-02-01-01-03_happy.wav,happy
93,D:\repos\CCSER\SER\data\ravdess\Actor_04\04_02_02_02_dogs-sitting_happy.wav,happy
493,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_kick_happy.wav,happy
601,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_vote_happy.wav,happy
238,D:\repos\CCSER\SER\data\ravdess\Actor_12\12_01_02_01_dogs-sitting_happy.wav,happy
97,D:\repos\CCSER\SER\data\ravdess\Actor_05\03-02-03-01-02-01-05_happy.wav,happy
784,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_tough_happy.wav,happy
779,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_time_happy.wav,happy
103,D:\repos\CCSER\SER\data\ravdess\Actor_05\05_01_02_01_dogs-sitting_happy.wav,happy
476,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_have_happy.wav,happy
269,D:\repos\CCSER\SER\data\ravdess\Actor_13\13_02_01_02_kids-talking_happy.wav,happy
313,D:\repos\CCSER\SER\data\ravdess\Actor_16\03-02-03-02-02-02-16_happy.wav,happy
803,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_yes_happy.wav,happy
338,D:\repos\CCSER\SER\data\ravdess\Actor_18\18_01_01_01_dogs-sitting_happy.wav,happy
466,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_get_happy.wav,happy
685,D:\repos\CCSER\SER\data\ravdess\Actor_26\26_01_01_01_knock_happy.wav,happy
146,D:\repos\CCSER\SER\data\ravdess\Actor_07\07_02_01_01_dogs-sitting_happy.wav,happy
83,D:\repos\CCSER\SER\data\ravdess\Actor_04\04_01_02_01_dogs-sitting_happy.wav,happy
221,D:\repos\CCSER\SER\data\ravdess\Actor_11\11_02_01_02_kids-talking_happy.wav,happy
340,D:\repos\CCSER\SER\data\ravdess\Actor_18\18_01_01_02_dogs-sitting_happy.wav,happy
205,D:\repos\CCSER\SER\data\ravdess\Actor_11\03-02-03-01-02-02-11_happy.wav,happy
328,D:\repos\CCSER\SER\data\ravdess\Actor_17\03-02-03-02-02-01-17_happy.wav,happy
509,D:\repos\CCSER\SER\data\ravdess\Actor_25\25_01_01_01_lore_happy.wav,happy
