path,emotion
data/savee/AudioData\DC\a01.wav,angry
data/savee/AudioData\DC\a02.wav,angry
data/savee/AudioData\DC\a03.wav,angry
data/savee/AudioData\DC\a04.wav,angry
data/savee/AudioData\DC\a05.wav,angry
data/savee/AudioData\DC\a06.wav,angry
data/savee/AudioData\DC\a07.wav,angry
data/savee/AudioData\DC\a08.wav,angry
data/savee/AudioData\DC\a09.wav,angry
data/savee/AudioData\DC\a10.wav,angry
data/savee/AudioData\DC\a11.wav,angry
data/savee/AudioData\DC\a12.wav,angry
data/savee/AudioData\DC\a13.wav,angry
data/savee/AudioData\DC\a14.wav,angry
data/savee/AudioData\DC\a15.wav,angry
data/savee/AudioData\DC\sa01.wav,sad
data/savee/AudioData\DC\sa02.wav,sad
data/savee/AudioData\DC\sa03.wav,sad
data/savee/AudioData\DC\sa04.wav,sad
data/savee/AudioData\DC\sa05.wav,sad
data/savee/AudioData\DC\sa06.wav,sad
data/savee/AudioData\DC\sa07.wav,sad
data/savee/AudioData\DC\sa08.wav,sad
data/savee/AudioData\DC\sa09.wav,sad
data/savee/AudioData\DC\sa10.wav,sad
data/savee/AudioData\DC\sa11.wav,sad
data/savee/AudioData\DC\sa12.wav,sad
data/savee/AudioData\DC\sa13.wav,sad
data/savee/AudioData\DC\sa14.wav,sad
data/savee/AudioData\DC\sa15.wav,sad
data/savee/AudioData\JE\a01.wav,angry
data/savee/AudioData\JE\a02.wav,angry
data/savee/AudioData\JE\a03.wav,angry
data/savee/AudioData\JE\a04.wav,angry
data/savee/AudioData\JE\a05.wav,angry
data/savee/AudioData\JE\a06.wav,angry
data/savee/AudioData\JE\a07.wav,angry
data/savee/AudioData\JE\a08.wav,angry
data/savee/AudioData\JE\a09.wav,angry
data/savee/AudioData\JE\a10.wav,angry
data/savee/AudioData\JE\a11.wav,angry
data/savee/AudioData\JE\a12.wav,angry
data/savee/AudioData\JE\a13.wav,angry
data/savee/AudioData\JE\a14.wav,angry
data/savee/AudioData\JE\a15.wav,angry
data/savee/AudioData\JE\sa01.wav,sad
data/savee/AudioData\JE\sa02.wav,sad
data/savee/AudioData\JE\sa03.wav,sad
data/savee/AudioData\JE\sa04.wav,sad
data/savee/AudioData\JE\sa05.wav,sad
data/savee/AudioData\JE\sa06.wav,sad
data/savee/AudioData\JE\sa07.wav,sad
data/savee/AudioData\JE\sa08.wav,sad
data/savee/AudioData\JE\sa09.wav,sad
data/savee/AudioData\JE\sa10.wav,sad
data/savee/AudioData\JE\sa11.wav,sad
data/savee/AudioData\JE\sa12.wav,sad
data/savee/AudioData\JE\sa13.wav,sad
data/savee/AudioData\JE\sa14.wav,sad
data/savee/AudioData\JE\sa15.wav,sad
data/savee/AudioData\JK\a01.wav,angry
data/savee/AudioData\JK\a02.wav,angry
data/savee/AudioData\JK\a03.wav,angry
data/savee/AudioData\JK\a04.wav,angry
data/savee/AudioData\JK\a05.wav,angry
data/savee/AudioData\JK\a06.wav,angry
data/savee/AudioData\JK\a07.wav,angry
data/savee/AudioData\JK\a08.wav,angry
data/savee/AudioData\JK\a09.wav,angry
data/savee/AudioData\JK\a10.wav,angry
data/savee/AudioData\JK\a11.wav,angry
data/savee/AudioData\JK\a12.wav,angry
data/savee/AudioData\JK\a13.wav,angry
data/savee/AudioData\JK\a14.wav,angry
data/savee/AudioData\JK\a15.wav,angry
data/savee/AudioData\JK\sa01.wav,sad
data/savee/AudioData\JK\sa02.wav,sad
data/savee/AudioData\JK\sa03.wav,sad
data/savee/AudioData\JK\sa04.wav,sad
data/savee/AudioData\JK\sa05.wav,sad
data/savee/AudioData\JK\sa06.wav,sad
data/savee/AudioData\JK\sa07.wav,sad
data/savee/AudioData\JK\sa08.wav,sad
data/savee/AudioData\JK\sa09.wav,sad
data/savee/AudioData\JK\sa10.wav,sad
data/savee/AudioData\JK\sa11.wav,sad
data/savee/AudioData\JK\sa12.wav,sad
data/savee/AudioData\JK\sa13.wav,sad
data/savee/AudioData\JK\sa14.wav,sad
data/savee/AudioData\JK\sa15.wav,sad
data/savee/AudioData\KL\a01.wav,angry
data/savee/AudioData\KL\a02.wav,angry
data/savee/AudioData\KL\a03.wav,angry
data/savee/AudioData\KL\a04.wav,angry
data/savee/AudioData\KL\a05.wav,angry
data/savee/AudioData\KL\a06.wav,angry
