,path,emotion
407,D:\repos\CCSER\SER\data\savee\AudioData\KL\h03.wav,happy
56,D:\repos\CCSER\SER\data\savee\AudioData\DC\h12.wav,happy
167,D:\repos\CCSER\SER\data\savee\AudioData\JE\h03.wav,happy
165,D:\repos\CCSER\SER\data\savee\AudioData\JE\h01.wav,happy
299,D:\repos\CCSER\SER\data\savee\AudioData\JK\h15.wav,happy
293,D:\repos\CCSER\SER\data\savee\AudioData\JK\h09.wav,happy
48,D:\repos\CCSER\SER\data\savee\AudioData\DC\h04.wav,happy
178,D:\repos\CCSER\SER\data\savee\AudioData\JE\h14.wav,happy
412,D:\repos\CCSER\SER\data\savee\AudioData\KL\h08.wav,happy
416,D:\repos\CCSER\SER\data\savee\AudioData\KL\h12.wav,happy
292,D:\repos\CCSER\SER\data\savee\AudioData\JK\h08.wav,happy
170,D:\repos\CCSER\SER\data\savee\AudioData\JE\h06.wav,happy
297,D:\repos\CCSER\SER\data\savee\AudioData\JK\h13.wav,happy
406,D:\repos\CCSER\SER\data\savee\AudioData\KL\h02.wav,happy
58,D:\repos\CCSER\SER\data\savee\AudioData\DC\h14.wav,happy
410,D:\repos\CCSER\SER\data\savee\AudioData\KL\h06.wav,happy
294,D:\repos\CCSER\SER\data\savee\AudioData\JK\h10.wav,happy
414,D:\repos\CCSER\SER\data\savee\AudioData\KL\h10.wav,happy
415,D:\repos\CCSER\SER\data\savee\AudioData\KL\h11.wav,happy
51,D:\repos\CCSER\SER\data\savee\AudioData\DC\h07.wav,happy
417,D:\repos\CCSER\SER\data\savee\AudioData\KL\h13.wav,happy
418,D:\repos\CCSER\SER\data\savee\AudioData\KL\h14.wav,happy
298,D:\repos\CCSER\SER\data\savee\AudioData\JK\h14.wav,happy
53,D:\repos\CCSER\SER\data\savee\AudioData\DC\h09.wav,happy
296,D:\repos\CCSER\SER\data\savee\AudioData\JK\h12.wav,happy
290,D:\repos\CCSER\SER\data\savee\AudioData\JK\h06.wav,happy
419,D:\repos\CCSER\SER\data\savee\AudioData\KL\h15.wav,happy
166,D:\repos\CCSER\SER\data\savee\AudioData\JE\h02.wav,happy
52,D:\repos\CCSER\SER\data\savee\AudioData\DC\h08.wav,happy
59,D:\repos\CCSER\SER\data\savee\AudioData\DC\h15.wav,happy
291,D:\repos\CCSER\SER\data\savee\AudioData\JK\h07.wav,happy
168,D:\repos\CCSER\SER\data\savee\AudioData\JE\h04.wav,happy
413,D:\repos\CCSER\SER\data\savee\AudioData\KL\h09.wav,happy
179,D:\repos\CCSER\SER\data\savee\AudioData\JE\h15.wav,happy
405,D:\repos\CCSER\SER\data\savee\AudioData\KL\h01.wav,happy
411,D:\repos\CCSER\SER\data\savee\AudioData\KL\h07.wav,happy
408,D:\repos\CCSER\SER\data\savee\AudioData\KL\h04.wav,happy
409,D:\repos\CCSER\SER\data\savee\AudioData\KL\h05.wav,happy
174,D:\repos\CCSER\SER\data\savee\AudioData\JE\h10.wav,happy
55,D:\repos\CCSER\SER\data\savee\AudioData\DC\h11.wav,happy
173,D:\repos\CCSER\SER\data\savee\AudioData\JE\h09.wav,happy
47,D:\repos\CCSER\SER\data\savee\AudioData\DC\h03.wav,happy
176,D:\repos\CCSER\SER\data\savee\AudioData\JE\h12.wav,happy
289,D:\repos\CCSER\SER\data\savee\AudioData\JK\h05.wav,happy
46,D:\repos\CCSER\SER\data\savee\AudioData\DC\h02.wav,happy
295,D:\repos\CCSER\SER\data\savee\AudioData\JK\h11.wav,happy
288,D:\repos\CCSER\SER\data\savee\AudioData\JK\h04.wav,happy
287,D:\repos\CCSER\SER\data\savee\AudioData\JK\h03.wav,happy
285,D:\repos\CCSER\SER\data\savee\AudioData\JK\h01.wav,happy
69,D:\repos\CCSER\SER\data\savee\AudioData\DC\n10.wav,neutral
183,D:\repos\CCSER\SER\data\savee\AudioData\JE\n04.wav,neutral
316,D:\repos\CCSER\SER\data\savee\AudioData\JK\n17.wav,neutral
191,D:\repos\CCSER\SER\data\savee\AudioData\JE\n12.wav,neutral
422,D:\repos\CCSER\SER\data\savee\AudioData\KL\n03.wav,neutral
192,D:\repos\CCSER\SER\data\savee\AudioData\JE\n13.wav,neutral
197,D:\repos\CCSER\SER\data\savee\AudioData\JE\n18.wav,neutral
187,D:\repos\CCSER\SER\data\savee\AudioData\JE\n08.wav,neutral
308,D:\repos\CCSER\SER\data\savee\AudioData\JK\n09.wav,neutral
444,D:\repos\CCSER\SER\data\savee\AudioData\KL\n25.wav,neutral
434,D:\repos\CCSER\SER\data\savee\AudioData\KL\n15.wav,neutral
428,D:\repos\CCSER\SER\data\savee\AudioData\KL\n09.wav,neutral
303,D:\repos\CCSER\SER\data\savee\AudioData\JK\n04.wav,neutral
427,D:\repos\CCSER\SER\data\savee\AudioData\KL\n08.wav,neutral
84,D:\repos\CCSER\SER\data\savee\AudioData\DC\n25.wav,neutral
63,D:\repos\CCSER\SER\data\savee\AudioData\DC\n04.wav,neutral
436,D:\repos\CCSER\SER\data\savee\AudioData\KL\n17.wav,neutral
72,D:\repos\CCSER\SER\data\savee\AudioData\DC\n13.wav,neutral
61,D:\repos\CCSER\SER\data\savee\AudioData\DC\n02.wav,neutral
440,D:\repos\CCSER\SER\data\savee\AudioData\KL\n21.wav,neutral
442,D:\repos\CCSER\SER\data\savee\AudioData\KL\n23.wav,neutral
327,D:\repos\CCSER\SER\data\savee\AudioData\JK\n28.wav,neutral
438,D:\repos\CCSER\SER\data\savee\AudioData\KL\n19.wav,neutral
64,D:\repos\CCSER\SER\data\savee\AudioData\DC\n05.wav,neutral
194,D:\repos\CCSER\SER\data\savee\AudioData\JE\n15.wav,neutral
420,D:\repos\CCSER\SER\data\savee\AudioData\KL\n01.wav,neutral
79,D:\repos\CCSER\SER\data\savee\AudioData\DC\n20.wav,neutral
186,D:\repos\CCSER\SER\data\savee\AudioData\JE\n07.wav,neutral
206,D:\repos\CCSER\SER\data\savee\AudioData\JE\n27.wav,neutral
196,D:\repos\CCSER\SER\data\savee\AudioData\JE\n17.wav,neutral
314,D:\repos\CCSER\SER\data\savee\AudioData\JK\n15.wav,neutral
199,D:\repos\CCSER\SER\data\savee\AudioData\JE\n20.wav,neutral
68,D:\repos\CCSER\SER\data\savee\AudioData\DC\n09.wav,neutral
75,D:\repos\CCSER\SER\data\savee\AudioData\DC\n16.wav,neutral
326,D:\repos\CCSER\SER\data\savee\AudioData\JK\n27.wav,neutral
205,D:\repos\CCSER\SER\data\savee\AudioData\JE\n26.wav,neutral
306,D:\repos\CCSER\SER\data\savee\AudioData\JK\n07.wav,neutral
423,D:\repos\CCSER\SER\data\savee\AudioData\KL\n04.wav,neutral
307,D:\repos\CCSER\SER\data\savee\AudioData\JK\n08.wav,neutral
203,D:\repos\CCSER\SER\data\savee\AudioData\JE\n24.wav,neutral
66,D:\repos\CCSER\SER\data\savee\AudioData\DC\n07.wav,neutral
87,D:\repos\CCSER\SER\data\savee\AudioData\DC\n28.wav,neutral
317,D:\repos\CCSER\SER\data\savee\AudioData\JK\n18.wav,neutral
190,D:\repos\CCSER\SER\data\savee\AudioData\JE\n11.wav,neutral
89,D:\repos\CCSER\SER\data\savee\AudioData\DC\n30.wav,neutral
180,D:\repos\CCSER\SER\data\savee\AudioData\JE\n01.wav,neutral
425,D:\repos\CCSER\SER\data\savee\AudioData\KL\n06.wav,neutral
83,D:\repos\CCSER\SER\data\savee\AudioData\DC\n24.wav,neutral
207,D:\repos\CCSER\SER\data\savee\AudioData\JE\n28.wav,neutral
85,D:\repos\CCSER\SER\data\savee\AudioData\DC\n26.wav,neutral
76,D:\repos\CCSER\SER\data\savee\AudioData\DC\n17.wav,neutral
82,D:\repos\CCSER\SER\data\savee\AudioData\DC\n23.wav,neutral
441,D:\repos\CCSER\SER\data\savee\AudioData\KL\n22.wav,neutral
319,D:\repos\CCSER\SER\data\savee\AudioData\JK\n20.wav,neutral
209,D:\repos\CCSER\SER\data\savee\AudioData\JE\n30.wav,neutral
320,D:\repos\CCSER\SER\data\savee\AudioData\JK\n21.wav,neutral
88,D:\repos\CCSER\SER\data\savee\AudioData\DC\n29.wav,neutral
437,D:\repos\CCSER\SER\data\savee\AudioData\KL\n18.wav,neutral
449,D:\repos\CCSER\SER\data\savee\AudioData\KL\n30.wav,neutral
201,D:\repos\CCSER\SER\data\savee\AudioData\JE\n22.wav,neutral
310,D:\repos\CCSER\SER\data\savee\AudioData\JK\n11.wav,neutral
313,D:\repos\CCSER\SER\data\savee\AudioData\JK\n14.wav,neutral
439,D:\repos\CCSER\SER\data\savee\AudioData\KL\n20.wav,neutral
448,D:\repos\CCSER\SER\data\savee\AudioData\KL\n29.wav,neutral
71,D:\repos\CCSER\SER\data\savee\AudioData\DC\n12.wav,neutral
80,D:\repos\CCSER\SER\data\savee\AudioData\DC\n21.wav,neutral
312,D:\repos\CCSER\SER\data\savee\AudioData\JK\n13.wav,neutral
433,D:\repos\CCSER\SER\data\savee\AudioData\KL\n14.wav,neutral
431,D:\repos\CCSER\SER\data\savee\AudioData\KL\n12.wav,neutral
315,D:\repos\CCSER\SER\data\savee\AudioData\JK\n16.wav,neutral
446,D:\repos\CCSER\SER\data\savee\AudioData\KL\n27.wav,neutral
73,D:\repos\CCSER\SER\data\savee\AudioData\DC\n14.wav,neutral
198,D:\repos\CCSER\SER\data\savee\AudioData\JE\n19.wav,neutral
430,D:\repos\CCSER\SER\data\savee\AudioData\KL\n11.wav,neutral
323,D:\repos\CCSER\SER\data\savee\AudioData\JK\n24.wav,neutral
182,D:\repos\CCSER\SER\data\savee\AudioData\JE\n03.wav,neutral
421,D:\repos\CCSER\SER\data\savee\AudioData\KL\n02.wav,neutral
435,D:\repos\CCSER\SER\data\savee\AudioData\KL\n16.wav,neutral
321,D:\repos\CCSER\SER\data\savee\AudioData\JK\n22.wav,neutral
426,D:\repos\CCSER\SER\data\savee\AudioData\KL\n07.wav,neutral
181,D:\repos\CCSER\SER\data\savee\AudioData\JE\n02.wav,neutral
193,D:\repos\CCSER\SER\data\savee\AudioData\JE\n14.wav,neutral
77,D:\repos\CCSER\SER\data\savee\AudioData\DC\n18.wav,neutral
328,D:\repos\CCSER\SER\data\savee\AudioData\JK\n29.wav,neutral
78,D:\repos\CCSER\SER\data\savee\AudioData\DC\n19.wav,neutral
311,D:\repos\CCSER\SER\data\savee\AudioData\JK\n12.wav,neutral
74,D:\repos\CCSER\SER\data\savee\AudioData\DC\n15.wav,neutral
189,D:\repos\CCSER\SER\data\savee\AudioData\JE\n10.wav,neutral
62,D:\repos\CCSER\SER\data\savee\AudioData\DC\n03.wav,neutral
81,D:\repos\CCSER\SER\data\savee\AudioData\DC\n22.wav,neutral
325,D:\repos\CCSER\SER\data\savee\AudioData\JK\n26.wav,neutral
208,D:\repos\CCSER\SER\data\savee\AudioData\JE\n29.wav,neutral
67,D:\repos\CCSER\SER\data\savee\AudioData\DC\n08.wav,neutral
464,D:\repos\CCSER\SER\data\savee\AudioData\KL\sa15.wav,sad
461,D:\repos\CCSER\SER\data\savee\AudioData\KL\sa12.wav,sad
339,D:\repos\CCSER\SER\data\savee\AudioData\JK\sa10.wav,sad
463,D:\repos\CCSER\SER\data\savee\AudioData\KL\sa14.wav,sad
460,D:\repos\CCSER\SER\data\savee\AudioData\KL\sa11.wav,sad
90,D:\repos\CCSER\SER\data\savee\AudioData\DC\sa01.wav,sad
211,D:\repos\CCSER\SER\data\savee\AudioData\JE\sa02.wav,sad
341,D:\repos\CCSER\SER\data\savee\AudioData\JK\sa12.wav,sad
94,D:\repos\CCSER\SER\data\savee\AudioData\DC\sa05.wav,sad
102,D:\repos\CCSER\SER\data\savee\AudioData\DC\sa13.wav,sad
220,D:\repos\CCSER\SER\data\savee\AudioData\JE\sa11.wav,sad
458,D:\repos\CCSER\SER\data\savee\AudioData\KL\sa09.wav,sad
99,D:\repos\CCSER\SER\data\savee\AudioData\DC\sa10.wav,sad
222,D:\repos\CCSER\SER\data\savee\AudioData\JE\sa13.wav,sad
451,D:\repos\CCSER\SER\data\savee\AudioData\KL\sa02.wav,sad
462,D:\repos\CCSER\SER\data\savee\AudioData\KL\sa13.wav,sad
212,D:\repos\CCSER\SER\data\savee\AudioData\JE\sa03.wav,sad
454,D:\repos\CCSER\SER\data\savee\AudioData\KL\sa05.wav,sad
337,D:\repos\CCSER\SER\data\savee\AudioData\JK\sa08.wav,sad
95,D:\repos\CCSER\SER\data\savee\AudioData\DC\sa06.wav,sad
450,D:\repos\CCSER\SER\data\savee\AudioData\KL\sa01.wav,sad
93,D:\repos\CCSER\SER\data\savee\AudioData\DC\sa04.wav,sad
335,D:\repos\CCSER\SER\data\savee\AudioData\JK\sa06.wav,sad
455,D:\repos\CCSER\SER\data\savee\AudioData\KL\sa06.wav,sad
338,D:\repos\CCSER\SER\data\savee\AudioData\JK\sa09.wav,sad
215,D:\repos\CCSER\SER\data\savee\AudioData\JE\sa06.wav,sad
91,D:\repos\CCSER\SER\data\savee\AudioData\DC\sa02.wav,sad
330,D:\repos\CCSER\SER\data\savee\AudioData\JK\sa01.wav,sad
218,D:\repos\CCSER\SER\data\savee\AudioData\JE\sa09.wav,sad
459,D:\repos\CCSER\SER\data\savee\AudioData\KL\sa10.wav,sad
331,D:\repos\CCSER\SER\data\savee\AudioData\JK\sa02.wav,sad
453,D:\repos\CCSER\SER\data\savee\AudioData\KL\sa04.wav,sad
104,D:\repos\CCSER\SER\data\savee\AudioData\DC\sa15.wav,sad
452,D:\repos\CCSER\SER\data\savee\AudioData\KL\sa03.wav,sad
343,D:\repos\CCSER\SER\data\savee\AudioData\JK\sa14.wav,sad
216,D:\repos\CCSER\SER\data\savee\AudioData\JE\sa07.wav,sad
340,D:\repos\CCSER\SER\data\savee\AudioData\JK\sa11.wav,sad
213,D:\repos\CCSER\SER\data\savee\AudioData\JE\sa04.wav,sad
219,D:\repos\CCSER\SER\data\savee\AudioData\JE\sa10.wav,sad
336,D:\repos\CCSER\SER\data\savee\AudioData\JK\sa07.wav,sad
224,D:\repos\CCSER\SER\data\savee\AudioData\JE\sa15.wav,sad
221,D:\repos\CCSER\SER\data\savee\AudioData\JE\sa12.wav,sad
98,D:\repos\CCSER\SER\data\savee\AudioData\DC\sa09.wav,sad
333,D:\repos\CCSER\SER\data\savee\AudioData\JK\sa04.wav,sad
101,D:\repos\CCSER\SER\data\savee\AudioData\DC\sa12.wav,sad
96,D:\repos\CCSER\SER\data\savee\AudioData\DC\sa07.wav,sad
103,D:\repos\CCSER\SER\data\savee\AudioData\DC\sa14.wav,sad
342,D:\repos\CCSER\SER\data\savee\AudioData\JK\sa13.wav,sad
100,D:\repos\CCSER\SER\data\savee\AudioData\DC\sa11.wav,sad
217,D:\repos\CCSER\SER\data\savee\AudioData\JE\sa08.wav,sad
